invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I139376,C115765,Male,18,Technology,1,1050,Cash,3/11/2022,Zorlu Center
I296108,C311255,Female,18,Technology,1,1050,Cash,3/9/2022,Forum Istanbul
I573459,C613648,Female,18,Technology,1,1050,Cash,3/8/2022,Mall of Istanbul
I120046,C235508,Male,18,Technology,2,2100,Debit Card,1/23/2022,Zorlu Center
I166375,C188979,Female,18,Technology,4,4200,Cash,3/4/2022,Metrocity
I291295,C199319,Female,18,Technology,3,3150,Credit Card,2/20/2022,Mall of Istanbul
I131710,C236511,Female,18,Technology,3,3150,Cash,3/6/2022,Metrocity
I791887,C309980,Female,18,Technology,3,3150,Cash,1/22/2022,Mall of Istanbul
I315022,C321138,Female,18,Books,5,75.75,Credit Card,3/1/2022,Kanyon
I735905,C439853,Female,18,Cosmetics,1,40.66,Cash,1/20/2022,Kanyon
I182412,C410320,Female,18,Cosmetics,1,40.66,Credit Card,3/26/2022,Metrocity
I335833,C274276,Male,18,Cosmetics,1,40.66,Cash,3/11/2022,Kanyon
I320470,C372177,Female,18,Cosmetics,1,40.66,Debit Card,1/7/2022,Metrocity
I236423,C129108,Male,18,Cosmetics,1,40.66,Debit Card,3/3/2022,Kanyon
I228973,C636648,Female,18,Cosmetics,1,40.66,Cash,3/22/2022,Mall of Istanbul
I208764,C963920,Male,18,Cosmetics,2,81.32,Credit Card,3/17/2022,Metrocity
I585821,C182119,Female,18,Cosmetics,2,81.32,Credit Card,3/14/2022,Mall of Istanbul
I966926,C200398,Male,18,Cosmetics,2,81.32,Cash,3/30/2022,Metrocity
I920548,C133688,Male,18,Cosmetics,2,81.32,Cash,2/15/2022,Kanyon
I122556,C279565,Female,18,Cosmetics,4,162.64,Credit Card,3/12/2022,Kanyon
I269690,C126436,Male,18,Cosmetics,3,121.98,Debit Card,2/7/2022,Zorlu Center
I411957,C226559,Female,18,Cosmetics,3,121.98,Debit Card,1/29/2022,Metrocity
I278376,C176959,Female,18,Cosmetics,3,121.98,Credit Card,1/6/2022,Metrocity
I254064,C243854,Female,18,Cosmetics,3,121.98,Credit Card,2/15/2022,Zorlu Center
I280509,C338081,Female,18,Cosmetics,3,121.98,Cash,1/9/2022,Forum Istanbul
I575937,C267075,Male,18,Souvenir,5,58.65,Cash,1/29/2022,Kanyon
I144218,C262534,Female,18,Shoes,5,3000.85,Cash,3/10/2022,Kanyon
I219079,C580773,Female,18,Clothing,3,900.24,Debit Card,3/22/2022,Mall of Istanbul
I245938,C259076,Male,18,Clothing,3,900.24,Cash,3/19/2022,Kanyon
I270551,C237139,Male,18,Clothing,3,900.24,Debit Card,2/22/2022,Mall of Istanbul
I244153,C171189,Female,18,Clothing,3,900.24,Debit Card,3/7/2022,Kanyon
I325938,C321673,Female,18,Clothing,3,900.24,Credit Card,2/12/2022,Kanyon
I684235,C338714,Male,18,Clothing,3,900.24,Credit Card,1/13/2022,Kanyon
I305831,C151630,Male,18,Toys,5,179.2,Cash,3/23/2022,Kanyon
I441742,C301292,Female,18,Toys,5,179.2,Cash,3/19/2022,Metrocity
I533335,C317697,Female,18,Shoes,1,600.17,Cash,3/6/2022,Kanyon
I132349,C164230,Female,18,Shoes,1,600.17,Cash,1/7/2022,Kanyon
I192234,C160860,Female,18,Shoes,1,600.17,Credit Card,1/25/2022,Kanyon
I644431,C302754,Female,18,Shoes,1,600.17,Credit Card,1/24/2022,Metrocity
I139614,C232856,Male,18,Shoes,2,1200.34,Cash,1/6/2022,Kanyon
I103120,C319624,Female,18,Shoes,4,2400.68,Debit Card,2/20/2022,Mall of Istanbul
I453530,C756238,Female,18,Cosmetics,5,203.3,Credit Card,2/4/2022,Mall of Istanbul
I304275,C719583,Male,18,Cosmetics,5,203.3,Cash,1/10/2022,Mall of Istanbul
I317820,C168433,Female,18,Clothing,5,1500.4,Cash,3/21/2022,Metrocity
I752502,C179847,Male,18,Clothing,5,1500.4,Cash,1/13/2022,Forum Istanbul
I185282,C241743,Female,18,Clothing,5,1500.4,Credit Card,3/1/2022,Kanyon
I186591,C107774,Female,18,Clothing,5,1500.4,Cash,1/7/2022,Mall of Istanbul
I111873,C205948,Female,18,Clothing,5,1500.4,Credit Card,3/28/2022,Mall of Istanbul
I333260,C137611,Male,18,Clothing,5,1500.4,Credit Card,3/28/2022,Kanyon
I254340,C294033,Female,18,Clothing,5,1500.4,Cash,3/9/2022,Forum Istanbul
I385961,C163323,Female,18,Clothing,5,1500.4,Cash,3/16/2022,Kanyon
I720327,C259264,Female,18,Clothing,5,1500.4,Credit Card,2/18/2022,Kanyon
I306669,C233105,Male,18,Books,3,45.45,Credit Card,1/4/2022,Kanyon
I104562,C847884,Female,18,Books,3,45.45,Debit Card,1/8/2022,Zorlu Center
I310904,C117689,Female,18,Books,3,45.45,Cash,2/21/2022,Kanyon
I137600,C216010,Female,18,Books,3,45.45,Credit Card,3/14/2022,Zorlu Center
I196211,C638409,Female,18,Souvenir,3,35.19,Debit Card,1/20/2022,Kanyon
I179646,C114636,Female,18,Souvenir,3,35.19,Debit Card,3/28/2022,Kanyon
I289267,C111659,Female,18,Souvenir,3,35.19,Cash,3/13/2022,Forum Istanbul
I339806,C556072,Female,18,Books,1,15.15,Cash,3/3/2022,Kanyon
I533423,C245301,Female,18,Books,1,15.15,Cash,2/11/2022,Kanyon
I265412,C111739,Male,18,Books,1,15.15,Credit Card,3/31/2022,Kanyon
I257576,C302221,Male,18,Books,2,30.3,Credit Card,1/21/2022,Metrocity
I142170,C245843,Female,18,Books,4,60.6,Credit Card,3/9/2022,Mall of Istanbul
I257015,C297692,Female,18,Shoes,3,1800.51,Credit Card,2/22/2022,Metrocity
I249584,C435352,Female,18,Shoes,3,1800.51,Cash,3/28/2022,Metrocity
I191871,C119979,Male,18,Food & Beverage,3,15.69,Credit Card,1/19/2022,Mall of Istanbul
I202063,C506425,Female,18,Food & Beverage,3,15.69,Credit Card,3/28/2022,Mall of Istanbul
I150777,C333107,Male,18,Food & Beverage,3,15.69,Credit Card,1/2/2022,Mall of Istanbul
I664578,C231675,Male,18,Food & Beverage,3,15.69,Cash,1/26/2022,Forum Istanbul
I703738,C852186,Male,18,Clothing,1,300.08,Credit Card,2/26/2022,Metrocity
I993823,C161679,Female,18,Clothing,1,300.08,Credit Card,3/26/2022,Mall of Istanbul
I286766,C150943,Female,18,Clothing,1,300.08,Debit Card,1/24/2022,Kanyon
I308972,C319413,Female,18,Clothing,1,300.08,Debit Card,2/22/2022,Metrocity
I632589,C287361,Female,18,Clothing,1,300.08,Credit Card,2/10/2022,Kanyon
I128968,C200571,Female,18,Clothing,1,300.08,Credit Card,2/26/2022,Kanyon
